Nom,Adreces/Carrer,Adreces/Carrer (bis),Adreces/Ciutat,Adreces/Codi postal,Adreces/Subdivisió/Codi,Adreces/País/Codi,CIF/NIF
ALU SYSTEM S.A.,"CARDEDEU, S/N POL MONTGUIT",,El Mas Fabrera,08480,ES-B,ES,ESA08658569
AMADEO FARELL S.A.,"AV CAN JOFRESA, 73",,Terrassa,08223,ES-B,ES,ESA08166167
AMADOR VARAS S.A.,"MONTALEGRE, 28",,Badalona,08915,ES-B,ES,ESA08908857
AMARCO S.A.,"CERMICA, 9",,Montcada I Reixac,08110,ES-B,ES,ESA58244849
AMARIS CONSULTING & INNOVATION SL,"MALLORCA, 260 1",,Barcelona,08008,ES-B,ES,ESB65104523
AMBIT PREVENCIO,"SANT GERMA, 5 1 1",,Barcelona,08004,ES-B,ES,ESG60275385
AMENITIES PACK S.A.,"CM CAN FARCAN, 39",,Terrassa,08227,ES-B,ES,ESA60122793
AMERICAN SPORTS CROSS S.L.,"CORSEGA, 299 SA",,Barcelona,08008,ES-B,ES,ESB61524658
AMETLLER & SANGRA SA,"AV REPUBLICA ARGENTINA, 252",,Barcelona,08023,ES-B,ES,ESA64579758
AMPHOS 21 CONSULTING S.L.,"PS GARCIA I FARIA, 49 1 1",,Barcelona,08019,ES-B,ES,ESB60626447
ANALISTAS PROFESIONALES ASOCIADOS S.L.,"ARIBAU, 212 BJ 1",,Barcelona,08006,ES-B,ES,ESB62196753
ANAPHARM EUROPE S.L.U.,"L'ENCUNY, 22 2",,Barcelona,08038,ES-B,ES,ESB63176481
ANDERSEN S.A.,"AV LLANA, 123",,Rubi,08191,ES-B,ES,ESA08347452
ANDIEL TRADE S.L.,"RIUS I TAULET, 27",,Badalona,08913,ES-B,ES,ESB65426397
ANDREA HOUSE S.L.,"DOS DE MAIG, 189 BJ",,Barcelona,08013,ES-B,ES,ESB64181274
ANDRES MALDONADO S.A.,"RB PRIM, 250 BI",,Barcelona,08020,ES-B,ES,ESA60741253
ANDREU COMAS I FILLS S.L.,"ROGER DE FLOR, 73 2 2",,Granollers,08401,ES-B,ES,ESB60531902
ANECOR S.L.,"BUIGAS, 19 BJ 3",,Barcelona,08017,ES-B,ES,ESB58455056
ANEDA PORT S.L.,"SANT GERVASI DE CASSOLES, 34",,Barcelona,08022,ES-B,ES,ESB64125628
ANETO S.A.,"POTOSI, 14 BJ 4",,Barcelona,08030,ES-B,ES,ESA08059297
ANGEL BALDOMA S.A.,"AV DIAGONAL, 612",,Barcelona,08021,ES-B,ES,ESA08791584
ANGEL MATIC S.L.,"TUSET, 16 DENTRO PJ ARCADIA TD 2",,Barcelona,08006,ES-B,ES,ESB08714990
ANMIN S.L.,"PS GRACIA, 30 3 2",,Barcelona,08007,ES-B,ES,ESB58241167
ANONIMA ESPAÑOLA DE COMERCIO Y ECONOMIA S.A.,"LONDRES, 9",,Rubi,08191,ES-B,ES,ESA08098576
